id,catalogue_page_title,catalogue_name,permutation_summary,ordering_code,product_type,product_description,stauff_groups,din_groups,thread_code,thread,size_d1,modifier,material_code,material_description,notes,imported_at
17,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-4S-W85,DPAL,Cover Plate for Single Clamps,4S,2,—,—,—,—,W85,Aluminium EN AW-6060,W85 (Aluminium EN AW-6060) available only for STAUFF groups 3S–5S,2026-06-01T13:54:04.983780+00:00
18,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-4S-W1,DPAS,Cover Plate for Double Clamps,4S,2,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
19,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-4S-W2,DPAS,Cover Plate for Double Clamps,4S,2,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
20,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-4S-W3,DPAS,Cover Plate for Double Clamps,4S,2,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
21,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-4S-W4,DPAS,Cover Plate for Double Clamps,4S,2,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
22,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-4S-W5,DPAS,Cover Plate for Double Clamps,4S,2,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
23,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-5S-W1,DPAL,Cover Plate for Single Clamps,5S,3,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
24,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-5S-W2,DPAL,Cover Plate for Single Clamps,5S,3,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
25,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-5S-W3,DPAL,Cover Plate for Single Clamps,5S,3,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
26,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-5S-W4,DPAL,Cover Plate for Single Clamps,5S,3,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
