id,catalogue_page_title,catalogue_name,permutation_summary,code,material,used_on_products,imported_at
1,Material code reference,Codes used in ordering codes on pages 45 / 50 / 51 / 52 / 53,,W1,"Carbon Steel, uncoated","SPAL-DUEB, SPAS-DUEB, DPAL, DPAS, AS, IS, SI*, SIP, AF",2026-06-01T13:54:04.983780+00:00
2,Material code reference,Codes used in ordering codes on pages 45 / 50 / 51 / 52 / 53,,W2,"Carbon Steel, phosphated","SPAL-DUEB, SPAS-DUEB, DPAL, DPAS, SIP, AF  (NOT AS / IS)",2026-06-01T13:54:04.983780+00:00
3,Material code reference,Codes used in ordering codes on pages 45 / 50 / 51 / 52 / 53,,W3,"Carbon Steel, zinc/nickel-plated","SPAL-DUEB, SPAS-DUEB, DPAL, DPAS, AS, IS, SI, SIP, AF",2026-06-01T13:54:04.983780+00:00
4,Material code reference,Codes used in ordering codes on pages 45 / 50 / 51 / 52 / 53,,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)","SPAL-DUEB, SPAS-DUEB, DPAL, DPAS, AS, IS, SIP, AF  (NOT SI)",2026-06-01T13:54:04.983780+00:00
5,Material code reference,Codes used in ordering codes on pages 45 / 50 / 51 / 52 / 53,,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)","SPAL-DUEB, SPAS-DUEB, DPAL, DPAS, AS, IS, SI, SIP, AF",2026-06-01T13:54:04.983780+00:00
6,Material code reference,Codes used in ordering codes on pages 45 / 50 / 51 / 52 / 53,,W85,Aluminium EN AW-6060,DPAL only — and only for STAUFF groups 3S–5S,2026-06-01T13:54:04.983780+00:00
