id,catalogue_page_title,catalogue_name,permutation_summary,ordering_code,product_type,product_description,stauff_groups,din_groups,thread_code,thread,size_d1,modifier,material_code,material_description,notes,imported_at
27,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-4S-U-W2,SPAL-DUEB,Elongated Weld Plate for Single Clamps,4S,2,U,3/8–16 UNC,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
28,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-4S-U-W3,SPAL-DUEB,Elongated Weld Plate for Single Clamps,4S,2,U,3/8–16 UNC,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
29,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-4S-U-W4,SPAL-DUEB,Elongated Weld Plate for Single Clamps,4S,2,U,3/8–16 UNC,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
30,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-4S-U-W5,SPAL-DUEB,Elongated Weld Plate for Single Clamps,4S,2,U,3/8–16 UNC,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
31,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-M-W1,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,M,M10,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
32,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-M-W2,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,M,M10,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
33,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-M-W3,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,M,M10,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
34,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-M-W4,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,M,M10,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
35,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-M-W5,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,M,M10,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
36,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-U-W1,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,U,3/8–16 UNC,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
37,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-U-W2,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,U,3/8–16 UNC,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
38,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-U-W3,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,U,3/8–16 UNC,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
39,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-U-W4,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,U,3/8–16 UNC,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
40,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAS-DUEB-4S-U-W5,SPAS-DUEB,Elongated Weld Plate for Double Clamps,4S,2,U,3/8–16 UNC,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
41,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-5S-M-W1,SPAL-DUEB,Elongated Weld Plate for Single Clamps,5S,3,M,M10,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
